sensor_data,time,measure_name,measure_value
senor_1,2024-03-29 18:58:58.892000000,humidity,19.0
senor_1,2024-03-29 18:58:57.714000000,temperature,-4.199999809
senor_1,2024-03-29 18:58:57.714000000,humidity,19.0
senor_1,2024-03-29 18:58:56.734000000,temperature,-4.199999809
senor_1,2024-03-29 18:58:56.734000000,humidity,19.0
senor_1,2024-03-29 18:58:55.700000000,temperature,-4.400000095
senor_1,2024-03-29 18:58:55.700000000,humidity,19.0
senor_1,2024-03-29 18:58:54.690000000,temperature,-4.400000095
senor_1,2024-03-29 18:58:54.690000000,humidity,19.0
senor_1,2024-03-29 18:58:53.660000000,temperature,-4.5
senor_1,2024-03-29 18:58:53.660000000,humidity,19.0
senor_1,2024-03-29 18:58:52.658000000,temperature,-4.5
senor_1,2024-03-29 18:58:52.658000000,humidity,19.0
senor_1,2024-03-29 18:58:51.726000000,temperature,-4.699999809
senor_1,2024-03-29 18:58:51.726000000,humidity,19.0
senor_1,2024-03-29 18:58:50.660000000,temperature,-4.699999809
senor_1,2024-03-29 18:58:50.660000000,humidity,19.0
senor_1,2024-03-29 18:58:49.617000000,temperature,-4.900000095
senor_1,2024-03-29 18:58:49.617000000,humidity,18.0
senor_1,2024-03-29 18:58:48.601000000,temperature,-4.900000095
senor_1,2024-03-29 18:58:48.601000000,humidity,18.0
senor_1,2024-03-29 18:58:47.633000000,temperature,-3.099999905
senor_1,2024-03-29 18:58:47.633000000,humidity,18.0
senor_1,2024-03-29 18:58:46.622000000,temperature,-3.099999905
senor_1,2024-03-29 18:58:46.622000000,humidity,18.0
senor_1,2024-03-29 18:58:45.544000000,temperature,-3.200000048
senor_1,2024-03-29 18:58:45.544000000,humidity,18.0
senor_1,2024-03-29 18:58:44.589000000,temperature,-3.200000048
senor_1,2024-03-29 18:58:44.589000000,humidity,18.0
senor_1,2024-03-29 18:58:43.609000000,temperature,-3.400000095
senor_1,2024-03-29 18:58:43.609000000,humidity,18.0
senor_1,2024-03-29 18:58:42.519000000,temperature,-3.400000095
senor_1,2024-03-29 18:58:42.519000000,humidity,18.0
senor_1,2024-03-29 18:58:41.493000000,temperature,-3.599999905
senor_1,2024-03-29 18:58:41.493000000,humidity,18.0
senor_1,2024-03-29 18:58:40.551000000,temperature,-3.599999905
senor_1,2024-03-29 18:58:40.551000000,humidity,18.0
senor_1,2024-03-29 18:58:39.462000000,temperature,-3.799999952
senor_1,2024-03-29 18:58:39.462000000,humidity,18.0
